Name,Date,Site,Cluster,Transect,Assigned To,Training Set,Row,Column,Label
,,,,,,,299,199,SARU
,,,,,,,299,599,SARU
,,,,,,,299,999,SARU
,,,,,,,299,1399,DEAD
,,,,,,,299,1799,DEAD
,,,,,,,299,2199,DEAD
,,,,,,,299,2599,SARU
,,,,,,,299,2999,DEAD
,,,,,,,299,3399,SARU
,,,,,,,299,3799,SARU
,,,,,,,899,199,SARU
,,,,,,,899,599,SARU
,,,,,,,899,999,PADN
,,,,,,,899,1399,SARU
,,,,,,,899,1799,MALG
,,,,,,,899,2199,PADN
,,,,,,,899,2599,DEAD
,,,,,,,899,2999,DEAD
,,,,,,,899,3399,SARU
,,,,,,,899,3799,DEAD
,,,,,,,1499,199,SARU
,,,,,,,1499,599,SARU
,,,,,,,1499,999,SARU
,,,,,,,1499,1399,MALG
,,,,,,,1499,1799,DEAD
,,,,,,,1499,2199,SARU
,,,,,,,1499,2599,DEAD
,,,,,,,1499,2999,DEAD
,,,,,,,1499,3399,SARU
,,,,,,,1499,3799,SARU
,,,,,,,2099,199,PADN
,,,,,,,2099,599,MALG
,,,,,,,2099,999,APUL-BL
,,,,,,,2099,1399,PADN
,,,,,,,2099,1799,PADN
,,,,,,,2099,2199,DICT
,,,,,,,2099,2599,SARU
,,,,,,,2099,2999,SARU
,,,,,,,2099,3399,PADN
,,,,,,,2099,3799,SARU
,,,,,,,2699,199,SARU
,,,,,,,2699,599,PADN
,,,,,,,2699,999,PDEC
,,,,,,,2699,1399,PDEC
,,,,,,,2699,1799,PADN
,,,,,,,2699,2199,PDEC
,,,,,,,2699,2599,PDEC
,,,,,,,2699,2999,SARU
,,,,,,,2699,3399,PDEC
,,,,,,,2699,3799,PDEC
1.JPG,,,,,Kyla,,299,199,DEAD
1.JPG,,,,,Kyla,,299,599,DEAD
1.JPG,,,,,Kyla,,299,999,DEAD
1.JPG,,,,,Kyla,,299,1399,SARU
1.JPG,,,,,Kyla,,299,1799,MALG
1.JPG,,,,,Kyla,,299,2199,DEAD
1.JPG,,,,,Kyla,,299,2599,DEAD
1.JPG,,,,,Kyla,,299,2999,DEAD
1.JPG,,,,,Kyla,,299,3399,DEAD
1.JPG,,,,,Kyla,,299,3799,DEAD
1.JPG,,,,,Kyla,,899,199,SARU
1.JPG,,,,,Kyla,,899,599,SARU
1.JPG,,,,,Kyla,,899,999,DEAD
1.JPG,,,,,Kyla,,899,1399,DEAD
1.JPG,,,,,Kyla,,899,1799,SARU
1.JPG,,,,,Kyla,,899,2199,DEAD
1.JPG,,,,,Kyla,,899,2599,DEAD
1.JPG,,,,,Kyla,,899,2999,DEAD
1.JPG,,,,,Kyla,,899,3399,SARU
1.JPG,,,,,Kyla,,899,3799,DEAD
1.JPG,,,,,Kyla,,1499,199,DEAD
1.JPG,,,,,Kyla,,1499,599,DEAD
1.JPG,,,,,Kyla,,1499,999,DEAD
1.JPG,,,,,Kyla,,1499,1399,DEAD
1.JPG,,,,,Kyla,,1499,1799,DEAD
1.JPG,,,,,Kyla,,1499,2199,DEAD
1.JPG,,,,,Kyla,,1499,2599,DEAD
1.JPG,,,,,Kyla,,1499,2999,DEAD
1.JPG,,,,,Kyla,,1499,3399,DEAD
1.JPG,,,,,Kyla,,1499,3799,PDEC
1.JPG,,,,,Kyla,,2099,199,DEAD
1.JPG,,,,,Kyla,,2099,599,DEAD
1.JPG,,,,,Kyla,,2099,999,DEAD
1.JPG,,,,,Kyla,,2099,1399,DEAD
1.JPG,,,,,Kyla,,2099,1799,SARU
1.JPG,,,,,Kyla,,2099,2199,SARU
1.JPG,,,,,Kyla,,2099,2599,SARU
1.JPG,,,,,Kyla,,2099,2999,DEAD
1.JPG,,,,,Kyla,,2099,3399,DEAD
1.JPG,,,,,Kyla,,2099,3799,DEAD
1.JPG,,,,,Kyla,,2699,199,DEAD
1.JPG,,,,,Kyla,,2699,599,DEAD
1.JPG,,,,,Kyla,,2699,999,DEAD
1.JPG,,,,,Kyla,,2699,1399,DEAD
1.JPG,,,,,Kyla,,2699,1799,TAPE
1.JPG,,,,,Kyla,,2699,2199,DEAD
1.JPG,,,,,Kyla,,2699,2599,DEAD
1.JPG,,,,,Kyla,,2699,2999,SARU
1.JPG,,,,,Kyla,,2699,3399,SARU
1.JPG,,,,,Kyla,,2699,3799,DEAD
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,299,199,SARU
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,299,599,SARU
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,299,999,MALG
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,299,1399,SARU
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,299,1799,SARU
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,299,2199,SARU
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,299,2599,SARU
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,299,2999,MALG
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,299,3399,SARU
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,299,3799,SARU
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,899,199,SARU
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,899,599,MALG
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,899,999,MALG
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,899,1399,SARU
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,899,1799,MALG
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,899,2199,SARU
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,899,2599,DEAD
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,899,2999,SARU
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,899,3399,SARU
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,899,3799,SARU
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,1499,199,APUL
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,1499,599,MALG
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,1499,999,DEAD
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,1499,1399,MALG
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,1499,1799,DEAD
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,1499,2199,MALG
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,1499,2599,MALG
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,1499,2999,SARU
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,1499,3399,SARU
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,1499,3799,SARU
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,2099,199,MALG
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,2099,599,MALG
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,2099,999,DEAD
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,2099,1399,DEAD
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,2099,1799,DEAD
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,2099,2199,MALG
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,2099,2599,SARU
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,2099,2999,SARU
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,2099,3399,SARU
2020-06-23-ADELUP-A-T1 15.0-A-AP (P6230529)4.JPG,,,,,Anneke,,2099,3799,SARU
