Name,Date,Island,Station ID,Transect,Pic Number,Notes,Row,Column,Label
16t1 (10).JPG,2019-05-01,ARU,,,,,91,357,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,194,1481,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,284,2337,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,493,3053,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,257,3797,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,907,400,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,825,937,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,1025,2208,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,779,2831,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,860,3473,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,1516,151,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,1646,1515,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,1604,2066,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,1381,2589,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,1708,3769,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,1928,695,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,1863,1376,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,1857,2197,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,1890,3046,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,2049,3429,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,2573,295,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,2435,1311,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,2780,1899,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,2498,2561,Sand
16t1 (10).JPG,2019-05-01,ARU,,,,,2734,3220,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,526,667,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,350,1134,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,512,1733,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,29,3112,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,52,3814,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,958,340,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,711,1295,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,1114,1966,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,1141,2619,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,1036,3681,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,1476,700,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,1400,1429,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,1279,1942,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,1342,2923,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,1236,3443,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,2325,152,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,2008,811,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,1968,2095,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,2025,2579,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,1811,3641,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,2632,13,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,2642,1089,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,2589,1927,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,2965,3069,Sand
16t1 (11).JPG,2019-05-01,ARU,,,,,2913,3298,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,458,574,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,254,836,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,393,1865,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,582,2798,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,158,3890,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,936,338,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,996,1123,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,1191,1796,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,681,2725,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,1172,3735,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,1283,663,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,1590,1553,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,1492,2019,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,1545,2696,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,1695,3906,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,2176,71,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,1991,1377,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,2048,1654,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,2164,2739,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,2309,3510,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,2410,265,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,2981,1401,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,2403,1908,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,2409,2598,Sand
16t1 (12).JPG,2019-05-01,ARU,,,,,2917,3211,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,218,722,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,28,1014,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,501,2303,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,115,3086,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,141,3535,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,963,617,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,766,954,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,1101,2141,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,612,3069,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,920,3947,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,1466,178,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,1593,1590,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,1369,2371,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,1749,2404,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,1257,3352,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,2095,611,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,2161,1246,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,2384,2244,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,1954,2814,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,2146,3845,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,2446,663,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,2747,992,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,2831,1864,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,2422,2597,Sand
16t1 (13).JPG,2019-05-01,ARU,,,,,2889,3954,Sand
16t1 (14).JPG,2019-05-01,ARU,,,,,111,168,Sand
16t1 (14).JPG,2019-05-01,ARU,,,,,560,1445,Sand
16t1 (14).JPG,2019-05-01,ARU,,,,,439,1814,Sand
16t1 (14).JPG,2019-05-01,ARU,,,,,548,2921,Sand
16t1 (14).JPG,2019-05-01,ARU,,,,,53,3821,Sand
16t1 (14).JPG,2019-05-01,ARU,,,,,1142,304,Sand
16t1 (14).JPG,2019-05-01,ARU,,,,,638,1296,Sand
16t1 (14).JPG,2019-05-01,ARU,,,,,790,2050,Sand
16t1 (14).JPG,2019-05-01,ARU,,,,,904,2849,Sand
16t1 (14).JPG,2019-05-01,ARU,,,,,1155,3752,DLab
16t1 (14).JPG,2019-05-01,ARU,,,,,1508,506,Sand
16t1 (14).JPG,2019-05-01,ARU,,,,,1616,1348,Sand
16t1 (14).JPG,2019-05-01,ARU,,,,,1722,2223,PorAstr
16t1 (14).JPG,2019-05-01,ARU,,,,,1711,2939,Millepo
16t1 (14).JPG,2019-05-01,ARU,,,,,1660,3796,Turf
16t1 (14).JPG,2019-05-01,ARU,,,,,1934,797,Turf
16t1 (14).JPG,2019-05-01,ARU,,,,,2248,978,Turf
16t1 (14).JPG,2019-05-01,ARU,,,,,2282,1979,Turf
16t1 (14).JPG,2019-05-01,ARU,,,,,2342,2584,Turf
16t1 (14).JPG,2019-05-01,ARU,,,,,2155,3940,Turf
16t1 (14).JPG,2019-05-01,ARU,,,,,2608,610,Turf
16t1 (14).JPG,2019-05-01,ARU,,,,,2799,1546,Turf
16t1 (14).JPG,2019-05-01,ARU,,,,,2933,2146,Turf
16t1 (14).JPG,2019-05-01,ARU,,,,,2705,3085,Turf
16t1 (14).JPG,2019-05-01,ARU,,,,,2411,3881,Turf
16t1 (15).JPG,2019-05-01,ARU,,,,,346,769,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,8,953,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,510,2182,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,130,2665,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,259,3380,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,746,752,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,1068,1517,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,798,2098,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,690,3032,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,1137,3551,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,1452,62,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,1793,1237,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,1307,2251,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,1200,2476,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,1223,3970,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,2163,290,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,1938,1325,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,2386,1719,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,2051,2965,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,1940,3530,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,2871,304,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,2484,933,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,2615,1926,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,2440,2890,Sand
16t1 (15).JPG,2019-05-01,ARU,,,,,2752,3401,Sand
16t1 (16).JPG,2019-05-01,ARU,,,,,535,677,Gorgo
16t1 (16).JPG,2019-05-01,ARU,,,,,596,1565,Turf
16t1 (16).JPG,2019-05-01,ARU,,,,,323,1863,Turf
16t1 (16).JPG,2019-05-01,ARU,,,,,321,2901,Turf
16t1 (16).JPG,2019-05-01,ARU,,,,,545,3464,Turf
16t1 (16).JPG,2019-05-01,ARU,,,,,866,333,Gorgo
16t1 (16).JPG,2019-05-01,ARU,,,,,751,1135,Turf
16t1 (16).JPG,2019-05-01,ARU,,,,,647,1646,Turf
16t1 (16).JPG,2019-05-01,ARU,,,,,1160,3045,Turf
16t1 (16).JPG,2019-05-01,ARU,,,,,1119,3274,Turf
16t1 (16).JPG,2019-05-01,ARU,,,,,1735,795,Turf
16t1 (16).JPG,2019-05-01,ARU,,,,,1422,1309,Turf
16t1 (16).JPG,2019-05-01,ARU,,,,,1403,2124,Turf
16t1 (16).JPG,2019-05-01,ARU,,,,,1574,2720,Turf
16t1 (16).JPG,2019-05-01,ARU,,,,,1628,3828,Turf
16t1 (16).JPG,2019-05-01,ARU,,,,,2228,755,Turf
16t1 (16).JPG,2019-05-01,ARU,,,,,2333,868,Turf
16t1 (16).JPG,2019-05-01,ARU,,,,,2158,1766,Turf
16t1 (16).JPG,2019-05-01,ARU,,,,,2170,2882,Turf
16t1 (16).JPG,2019-05-01,ARU,,,,,1912,3409,Sand
16t1 (16).JPG,2019-05-01,ARU,,,,,2544,502,Sand
16t1 (16).JPG,2019-05-01,ARU,,,,,2806,1068,Turf
16t1 (16).JPG,2019-05-01,ARU,,,,,2783,2265,Turf
16t1 (16).JPG,2019-05-01,ARU,,,,,2474,2458,Turf
16t1 (16).JPG,2019-05-01,ARU,,,,,2662,3721,Sand
16t1 (17).JPG,2019-05-01,ARU,,,,,111,704,DipStr
16t1 (17).JPG,2019-05-01,ARU,,,,,176,1187,Turf
16t1 (17).JPG,2019-05-01,ARU,,,,,483,2082,Sand
16t1 (17).JPG,2019-05-01,ARU,,,,,370,2639,Sand
16t1 (17).JPG,2019-05-01,ARU,,,,,156,3840,Sand
16t1 (17).JPG,2019-05-01,ARU,,,,,957,724,DLab
16t1 (17).JPG,2019-05-01,ARU,,,,,645,1361,Sand
16t1 (17).JPG,2019-05-01,ARU,,,,,662,2386,Sand
16t1 (17).JPG,2019-05-01,ARU,,,,,767,2427,Sand
16t1 (17).JPG,2019-05-01,ARU,,,,,919,3745,Sand
