name,date,location,label
2022-04-21-AGAT-T06-14.0(P4210258).JPG,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T06-15.0(P4210259).JPG,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T06-19.0(P4210264).JPG,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T06-22.0(P4210269).JPG,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T06-24.0(P4210271).JPG,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T06-26.0(P4210273).JPG,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T06-27.0(P4210274).JPG,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T06-28.0(P4210275).JPG,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T06-32.0(P4210279).JPG,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T06-33.0(P4210280).JPG,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T06-34.0(P4210281).JPG,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T06-35.0(P4210282).JPG,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T06-36.0(P4210284).JPG,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T06-39.0(P4210287).JPG,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T06-40.0(P4210288).JPG,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T06-50.0(P4210299).JPG,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T09-01.0(P4210021).jpg,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T09-02.0(P4210022).jpg,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T09-03.0(P4210023).jpg,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T09-04.0(P4210024).jpg,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T09-05.0(P4210025).jpg,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T09-06.0(P4210026).jpg,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T09-07.0(P4210027).jpg,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T09-09.0(P4210030).jpg,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T09-10.0(P4210031).jpg,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T09-11.0(P4210032).jpg,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T09-12.0(P4210033).jpg,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T09-13.0(P4210034).jpg,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T09-14.0(P4210035).jpg,2022-04-21,"Pacific National Historical Park, Guam",dead
2022-04-21-AGAT-T09-15.0(P4210036).jpg,2022-04-21,"Pacific National Historical Park, Guam",dead
