name,date,location,label
2020-06-23-ADELUP-A-T1 15.0-A (P6230529)2.JPG,2020-06-23,"Pacific National Historical Park, Guam",bleached
2020-06-23-ADELUP-A-T1 15.0-A (P6230529)3.JPG,2020-06-23,"Pacific National Historical Park, Guam",bleached
2020-06-23-ADELUP-A-T1 24.0-A-AP (P6230547)4.JPG,2023-05-01,"Pacific National Historical Park, Guam",bleached
2020-06-23-ADELUP-A-T1 24.0-A-JP (P6230547)4.JPG,2023-05-01,"Pacific National Historical Park, Guam",bleached
2020-06-23-ADELUP-A-T1 24.0-A KT (P6230547)4.JPG,2023-05-01,"Pacific National Historical Park, Guam",bleached
2020-06-23-ADELUP-A-T1 24.0-A (P6230547)2.JPG,2020-06-23,"Pacific National Historical Park, Guam",bleached
2020-06-23-ADELUP-A-T1 24.0-A (P6230547)3.JPG,2020-06-23,"Pacific National Historical Park, Guam",bleached
2020-06-23-ADELUP-A-T1 24.0-A (P6230547)4.JPG,2020-06-23,"Pacific National Historical Park, Guam",bleached
2020-06-23-ADELUP-A-T1 24.0-A-RS (P6230547)4.JPG,2023-05-01,"Pacific National Historical Park, Guam",bleached
2020-06-23-ADELUP-A-T1 24.0-A TB(P6230547)4.JPG,2023-05-01,"Pacific National Historical Park, Guam",bleached
2020-06-23-ADELUP-A-T2 19.0-A KT (P6230646)4.JPG,2023-05-01,"Pacific National Historical Park, Guam",bleached
2020-06-23-ADELUP-A-T2 19.0-A (P6230646)3.JPG,2020-06-23,"Pacific National Historical Park, Guam",bleached
2020-06-23-ADELUP-A-T5 16.0-A (P6230968)3.JPG,2020-06-23,"Pacific National Historical Park, Guam",bleached
2020-06-23-ADELUP-A-T5 16.0-A-RS (P6230968)4.JPG,2023-05-01,"Pacific National Historical Park, Guam",bleached
2020-06-23-ADELUP-A-T5 24.0-A (P6230984)2.JPG,2020-06-23,"Pacific National Historical Park, Guam",bleached
2020-08-07-ADELUP-B-T3 9.5-B-AP (P8072722)4.JPG,2023-05-01,"Pacific National Historical Park, Guam",bleached
2020-08-07-ADELUP-B-T3 9.5-Bj (P8072722)4.JPG,2023-05-01,"Pacific National Historical Park, Guam",bleached
2020-08-07-ADELUP-B-T3 9.5-B (P8072722)2.JPG,2020-08-07,"Pacific National Historical Park, Guam",bleached
2020-08-07-ADELUP-B-T3 9.5-B (P8072722).JPG,2020-08-07,"Pacific National Historical Park, Guam",bleached
2020-08-07-ADELUP-B-T3 9.5-B TB(P8072722)4.JPG,2023-05-01,"Pacific National Historical Park, Guam",bleached
2020-08-07-ADELUP-B-T5 20.0-Ad (P8072897)4.JPG,2023-05-01,"Pacific National Historical Park, Guam",bleached
2020-08-07-ADELUP-B-T5 20.0-A (P8072897)2.JPG,2020-08-07,"Pacific National Historical Park, Guam",bleached
