name,date,location,label
2021-05-27-ASAN-A-T1 11.0-A (P5271397).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-A-T2 11.5-B (P5271350).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-A-T2 14.0-A (P5271302).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-A-T3 11.0-A (P5270993).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-A-T3 19.0-A (P5271009).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-A-T3 21.0-A (P5271013).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-A-T3 24.0-A (P5271019).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-A-T4 0.5-B (P5271170).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-A-T4 16.5-B (P5271138).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-A-T4 17.5-B (P5271136).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-A-T4 21.5-B (P5271128).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-A-T4 3.0-A (P5271078).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-A-T5 1.0-A (P5271175).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-A-T5 14.0-A (P5271201).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-A-T5 16.5-B (P5271239).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-A-T5 18.5-B (P5271235).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-B-T1 9.5-B (P5270847).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-B-T2 3.5-B (P5270961).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-B-T2 4.5-B (P5270959).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-B-T2 9.5-B (P5270949).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-B-T3 19.5-B (P5270524).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-B-T3 3.5-B (P5270556).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-B-T3 4.5-B (P5270554).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-B-T3 5.5-B (P5270552).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-B-T4 10.0-A (P5270585).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-B-T4 7.0-A (P5270579).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-B-T4 8.5-B (P5270647).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-B-T4 9.0-A (P5270583).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-B-T5 21.5-B (P5270722).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-05-27-ASAN-B-T5 2.5-B (P5270760).JPG,2021-05-27,"Pacific National Historical Park, Guam",healthy
2021-11-06-AGAT-A-T1 11.5-B (PB061308).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-A-T1 19.0-A (PB061272).JPG,2021-11-06,"Pacific National Historical Park, Guam",healthy
2021-11-06-AGAT-A-T2 10.5-B (PB061210).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-A-T2 19.0-A (PB061171).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-A-T2 23.5-B (PB061184).JPG,2021-11-06,"Pacific National Historical Park, Guam",healthy
2021-11-06-AGAT-A-T2 7.5-B (PB061216).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-A-T3 14.0-A (PB061058).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-A-T3 20.0-A (PB061070).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-A-T4 19.5-B (PB060989).JPG,2021-11-06,"Pacific National Historical Park, Guam",healthy
2021-11-06-AGAT-B-T1 10.5-B (PB065381).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-B-T1 13.0-A (PB065330).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
2021-11-06-AGAT-B-T1 14.5-B (PB065373).JPG,2021-11-06,"Pacific National Historical Park, Guam",bleached
