name,date,location,label,CoralReefWatch location,SST@90th_HS
Ofav2_T1_22.JPG,2022-05-01,Biscayne Bay,healthy,southeast_florida,26.67
Ofav2_T1_24.JPG,2022-05-01,Biscayne Bay,healthy,southeast_florida,26.67
Ofav2_T1_3.JPG,2022-05-01,Biscayne Bay,healthy,southeast_florida,26.67
Ofav2_T2_6.JPG,2022-05-01,Biscayne Bay,bleached,southeast_florida,26.67
Ofav2_T3_12.JPG,2022-05-01,Biscayne Bay,healthy,southeast_florida,26.67
Ofav2_T3_6.JPG,2022-05-01,Biscayne Bay,healthy,southeast_florida,26.67
Ofav2_T4_23.JPG,2022-05-01,Biscayne Bay,bleached,southeast_florida,26.67
Ofav2_T4_25.JPG,2022-05-01,Biscayne Bay,healthy,southeast_florida,26.67
Ofav2_T4_7.JPG,2022-05-01,Biscayne Bay,healthy,southeast_florida,26.67
Ofav2_T4_8.JPG,2022-05-01,Biscayne Bay,bleached,southeast_florida,26.67
Ofav2_T5_22.JPG,2022-05-01,Biscayne Bay,healthy,southeast_florida,26.67
OfavB_T1_17.JPG,2022-05-01,Biscayne Bay,healthy,southeast_florida,26.67
OfavB_T2_14.JPG,2022-05-01,Biscayne Bay,bleached,southeast_florida,26.67
OfavB_T2_21.JPG,2022-05-01,Biscayne Bay,healthy,southeast_florida,26.67
OfavB_T2_22.JPG,2022-05-01,Biscayne Bay,dead,southeast_florida,26.67
OfavB_T2_25.JPG,2022-05-01,Biscayne Bay,healthy,southeast_florida,26.67
OfavB_T3_18.JPG,2022-05-01,Biscayne Bay,healthy,southeast_florida,26.67
OfavB_T3_19.JPG,2022-05-01,Biscayne Bay,bleached,southeast_florida,26.67
OfavB_T3_1.JPG,2022-05-01,Biscayne Bay,healthy,southeast_florida,26.67
OfavB_T3_3.JPG,2022-05-01,Biscayne Bay,healthy,southeast_florida,26.67
OfavB_T3_7.JPG,2022-05-01,Biscayne Bay,healthy,southeast_florida,26.67
OfavB_T4_20.JPG,2022-05-01,Biscayne Bay,dead,southeast_florida,26.67
OfavB_T4_21.JPG,2022-05-01,Biscayne Bay,healthy,southeast_florida,26.67
OfavB_T4_3.JPG,2022-05-01,Biscayne Bay,healthy,southeast_florida,26.67
OfavB_T4_7.JPG,2022-05-01,Biscayne Bay,bleached,southeast_florida,26.67
